prompt,correct interpretation,incorrect interpretation,function(s) to call
Book me a flight to Paris,Reserve a flight,Read a book about Paris,scheduleAppointment
Can you check my balance?,View my financial account balance,Test my physical stability,manageFinance
Help me address this letter,Write recipient information on a letter,Deal with a letter's content,sendMessage
I need to file these documents,Organize/store documents,Submit documents officially,searchWeb
Can you run this program?,Execute this software,Physically move with this program,playMedia
Please note the changes,Write down the changes,Observe the changes,searchWeb
Help me date this document,Add a timestamp,Take this document on a romantic outing,scheduleAppointment
I need to draw some money,Withdraw money from an account,Sketch/illustrate money,manageFinance
Let me play this track,Play this music,Follow/monitor this track,playMedia
Can you watch my account?,Monitor my account,Visually observe my account,manageFinance
I need to digest this information,Understand/process information,Physically consume information,searchWeb
Let me see what stocks are hot,Check which stocks are popular/trending,Check stocks with high temperature,searchWeb
Can you log my activity?,Record my activity,Create a wooden record of my activity,searchWeb
I need to draft an email,Write an email,Select an email in a draft pick,sendMessage
Please post this update,Publish this update online,Mail this update,sendMessage
Can you translate this passage?,Convert text to another language,Convert a physical corridor,translateText
I need to record this transaction,Document this financial exchange,Make an audio/video of this transaction,manageFinance
Help me search for a good bank,Find a financial institution,Find a riverside area,searchWeb
Can you calculate the interest?,Compute financial gain,Measure level of attention/curiosity,calculateMath
I need to table this discussion,Postpone this discussion,Bring forward this discussion,scheduleAppointment
Email clients with updates,Send updates to clients via email,Update email client software,sendMessage
Find restaurants serving families,Find restaurants that serve family customers,Find families who are serving at restaurants,searchWeb
Search for driving directions using maps,Use maps to find directions for driving,Find directions about how to use maps while driving,findDirections
Calculate tips for waiters working overtime,Compute gratuity for waiters who work extra hours,Calculate tips specifically during overtime hours,calculateMath
Show flights with available seats,Display flights that have seats available,Show which seats are available on flights,searchWeb
Book tickets for shows with discounts,Reserve discounted tickets for shows,Book tickets for shows that offer discounts,scheduleAppointment
Translate documents for Spanish clients,Convert documents into Spanish for clients,Translate documents written by Spanish clients,translateText
Find running apps on my phone,Find applications for jogging on my phone,Find which apps are currently executing on my phone,searchWeb
Order food for delivery from Italian restaurants,Place a delivery order for Italian food,Order food from restaurants that deliver Italian cuisine,orderFood
Check accounts with recurring payments,Verify accounts that have recurring payments,Verify recurring payments within accounts,manageFinance
Play songs from artists in my library,Play songs by artists who are in my library,Play songs from my library by artists,playMedia
Send messages to contacts with attachments,Send messages with attached files to contacts,Send messages to contacts who have attachments,sendMessage
Schedule appointments for clients requesting services,Book appointments for clients who are requesting services,Schedule service requests as appointments for clients,scheduleAppointment
Find stores selling products on sale,Locate stores that have products on sale,Find products being sold by stores that are on sale,searchWeb
Show routes avoiding traffic jams,Display routes that avoid traffic congestion,Avoid showing routes that have traffic jams,findDirections
Calculate taxes for employees with benefits,Compute taxes for employees who receive benefits,Calculate the taxes on employee benefits,calculateMath
Transfer money using apps on my phone,Use phone apps to transfer money,Transfer money to apps on my phone,manageFinance
Find recipes requiring cooking with wine,Find recipes that need wine as an ingredient,Find recipes that need to be cooked with wine,searchWeb
Search apartments near stations with parking,Find apartments near stations that have parking,Find apartments with parking that are near stations,searchWeb
Review transactions from vendors with fees,Examine transactions that include fees from vendors,Examine transactions from vendors who charge fees,manageFinance
Everyone needs to send an email,Each person needs to send their own email,Everyone needs to send the same email,sendMessage
Search for a hotel in every city,Find one hotel per city,Find a single hotel chain that exists in every city,searchWeb
Schedule a meeting with all team members,Book one meeting that includes all team members,Book separate meetings with each team member,scheduleAppointment
Calculate the cost for each item in the cart,Compute the price of each individual item,Calculate the total cost of all items combined,calculateMath
Find a gift for every child,Find different gifts for each child,Find one gift type suitable for all children,searchWeb
Play a song from each playlist,Play one song from each of multiple playlists,Play one song that appears in all playlists,playMedia
Order a meal for every guest,Order different meals for individual guests,Order the same meal for all guests,orderFood
Translate a phrase into all supported languages,Translate one phrase into multiple languages,Translate different phrases each into a supported language,translateText
Show a route to every destination,Display separate routes to each destination,Display one route that connects all destinations,findDirections
